p,A_BA
0.01,0.00023
0.02,0.000705
0.03,0.00938
0.04,0.006684999999999999
0.05,0.035109999999999995
0.06,0.07110999999999999
0.07,0.078045
0.08,0.13203
0.09,0.126615
0.1,0.23126500000000005
0.11,0.326965
0.12,0.34542999999999996
0.13,0.5022800000000001
0.14,0.5461099999999999
0.15,0.5290950000000001
0.16,0.668525
0.17,0.63972
0.18,0.785535
0.19,0.797315
0.2,0.86919
0.21,0.8949349999999999
0.22,0.9107350000000002
0.23,0.94296
0.24,0.9690100000000001
0.25,0.9793350000000001
0.26,0.9813999999999998
0.27,0.9867100000000001
0.28,0.9880549999999999
0.29,0.974245
0.3,0.9484950000000001
0.31,0.9956900000000001
0.32,0.998985
0.33,0.9982800000000001
0.34,0.998465
0.35,0.9989149999999999
0.36,0.9988699999999999
0.37,0.9996550000000001
0.38,0.974035
0.39,0.99992
